,Ward name,Borough name,City,Address,location,point
0,Abbey,Barking and Dagenham,London,"Abbey,Barking and Dagenham,London","Barking Abbey School, Ventnor Gardens, Thames View, London Borough of Barking and Dagenham, London, Greater London, England, IG11 9JY, United Kingdom","(51.54612675, 0.09183434126037382, 0.0)"
1,Alibon,Barking and Dagenham,London,"Alibon,Barking and Dagenham,London","Alibon Gardens, Dagenham, London Borough of Barking and Dagenham, London, Greater London, England, RM10 8BY, United Kingdom","(51.5482797, 0.153244, 0.0)"
2,Becontree,Barking and Dagenham,London,"Becontree,Barking and Dagenham,London","Becontree, Gale Street, Becontree, London Borough of Barking and Dagenham, London, Greater London, England, RM9 4TP, United Kingdom","(51.5403111, 0.1265241, 0.0)"
3,Chadwell Heath,Barking and Dagenham,London,"Chadwell Heath,Barking and Dagenham,London","Chadwell Heath, Station Road, London Borough of Barking and Dagenham, London, Greater London, England, RM6 4BU, United Kingdom","(51.5679857, 0.127994, 0.0)"
4,Eastbrook,Barking and Dagenham,London,"Eastbrook,Barking and Dagenham,London","The Eastbrook, Dagenham Road, Becontree Heath, London Borough of Barking and Dagenham, London, Greater London, England, RM10 7UP, United Kingdom","(51.5515648, 0.16154306778846314, 0.0)"
5,Eastbury,Barking and Dagenham,London,"Eastbury,Barking and Dagenham,London","Eastbury Manor House, Sisley Road, Thames View, London Borough of Barking and Dagenham, London, Greater London, England, IG11 9SS, United Kingdom","(51.5344736, 0.0993936, 0.0)"
6,Gascoigne,Barking and Dagenham,London,"Gascoigne,Barking and Dagenham,London","Gascoigne Estate, Thames View, London Borough of Barking and Dagenham, London, Greater London, England, United Kingdom","(51.5322827, 0.0812505, 0.0)"
7,Goresbrook,Barking and Dagenham,London,"Goresbrook,Barking and Dagenham,London","Goresbrook Park, Dagenham, London Borough of Barking and Dagenham, London, Greater London, England, United Kingdom","(51.5355397, 0.1414408666617633, 0.0)"
8,Heath,Barking and Dagenham,London,"Heath,Barking and Dagenham,London","Chadwell Heath, Station Road, London Borough of Barking and Dagenham, London, Greater London, England, RM6 4BU, United Kingdom","(51.5679857, 0.127994, 0.0)"
9,Longbridge,Barking and Dagenham,London,"Longbridge,Barking and Dagenham,London","Longbridge Road, Thames View, London Borough of Barking and Dagenham, London, Greater London, England, IG11 8TQ, United Kingdom","(51.5410458, 0.0836358, 0.0)"
10,Mayesbrook,Barking and Dagenham,London,"Mayesbrook,Barking and Dagenham,London","Mayesbrook Park, Becontree, London Borough of Barking and Dagenham, London, Greater London, England, RM8 2JR, United Kingdom","(51.5483331, 0.1107966346709997, 0.0)"
11,Parsloes,Barking and Dagenham,London,"Parsloes,Barking and Dagenham,London","Parsloes Park, Becontree, London Borough of Barking and Dagenham, London, Greater London, England, United Kingdom","(51.544383249999996, 0.13441881353302945, 0.0)"
12,River,Barking and Dagenham,London,"River,Barking and Dagenham,London","London Borough of Barking and Dagenham, London, Greater London, England, United Kingdom","(51.5541171, 0.15050434261994267, 0.0)"
13,Thames,Barking and Dagenham,London,"Thames,Barking and Dagenham,London","Thames View, Barking, London, Greater London, England, IG11 0NZ, United Kingdom","(51.5286041, 0.1043626, 0.0)"
14,Valence,Barking and Dagenham,London,"Valence,Barking and Dagenham,London","Valence House, Margery Road, Becontree, London Borough of Barking and Dagenham, London, Greater London, England, RM8 3HT, United Kingdom","(51.558249399999994, 0.13445002037038217, 0.0)"
15,Village,Barking and Dagenham,London,"Village,Barking and Dagenham,London","London Borough of Barking and Dagenham, London, Greater London, England, United Kingdom","(51.5541171, 0.15050434261994267, 0.0)"
16,Whalebone,Barking and Dagenham,London,"Whalebone,Barking and Dagenham,London","Whalebone Lane South, Becontree Heath, London Borough of Barking and Dagenham, London, Greater London, England, RM6 6HB, United Kingdom","(51.5721959, 0.1420234, 0.0)"
17,Brunswick Park,Barnet,London,"Brunswick Park,Barnet,London","Brunswick Park, London Borough of Barnet, London, Greater London, England, N11 1JF, United Kingdom","(51.6262191, -0.1481899, 0.0)"
18,Burnt Oak,Barnet,London,"Burnt Oak,Barnet,London","Burnt Oak, Park Croft, Burnt Oak, London Borough of Barnet, London, Greater London, England, HA8 0EJ, United Kingdom","(51.6028082, -0.2640125, 0.0)"
19,Childs Hill,Barnet,London,"Childs Hill,Barnet,London","Childs Hill, London Borough of Barnet, London, Greater London, England, NW2 2JN, United Kingdom","(51.5629822, -0.1972494, 0.0)"
20,Colindale,Barnet,London,"Colindale,Barnet,London","Colindale, Colindale Avenue, Grahame Park, London Borough of Barnet, London, Greater London, England, NW9 5HR, United Kingdom","(51.5954091, -0.2499296, 0.0)"
21,Coppetts,Barnet,London,"Coppetts,Barnet,London","Halliwick ( Coppetts Road Allotments), Colney Hatch, London Borough of Barnet, London, Greater London, England, United Kingdom","(51.60444955, -0.15376787481382959, 0.0)"
22,East Barnet,Barnet,London,"East Barnet,Barnet,London","East Barnet, London Borough of Barnet, London, Greater London, England, EN4 8SY, United Kingdom","(51.6416813, -0.1628235, 0.0)"
