,Ward name,Borough name,City,Address,Latitude,Longitude
0,Abbey,Barking and Dagenham,London,"Abbey,Barking and Dagenham,London",51.54612675,0.091834341
1,Alibon,Barking and Dagenham,London,"Alibon,Barking and Dagenham,London",51.5482797,0.153244
2,Becontree,Barking and Dagenham,London,"Becontree,Barking and Dagenham,London",51.5403111,0.1265241
3,Chadwell Heath,Barking and Dagenham,London,"Chadwell Heath,Barking and Dagenham,London",51.5679857,0.127994
4,Eastbrook,Barking and Dagenham,London,"Eastbrook,Barking and Dagenham,London",51.5515648,0.161543068
5,Eastbury,Barking and Dagenham,London,"Eastbury,Barking and Dagenham,London",51.5344736,0.0993936
6,Gascoigne,Barking and Dagenham,London,"Gascoigne,Barking and Dagenham,London",51.5322827,0.0812505
7,Goresbrook,Barking and Dagenham,London,"Goresbrook,Barking and Dagenham,London",51.5355397,0.141440867
8,Heath,Barking and Dagenham,London,"Heath,Barking and Dagenham,London",51.5679857,0.127994
9,Longbridge,Barking and Dagenham,London,"Longbridge,Barking and Dagenham,London",51.5410458,0.0836358
10,Mayesbrook,Barking and Dagenham,London,"Mayesbrook,Barking and Dagenham,London",51.5483331,0.110796635
11,Parsloes,Barking and Dagenham,London,"Parsloes,Barking and Dagenham,London",51.54438325,0.134418814
12,River,Barking and Dagenham,London,"River,Barking and Dagenham,London",51.5541171,0.150504343
13,Thames,Barking and Dagenham,London,"Thames,Barking and Dagenham,London",51.5286041,0.1043626
14,Valence,Barking and Dagenham,London,"Valence,Barking and Dagenham,London",51.5582494,0.13445002
15,Village,Barking and Dagenham,London,"Village,Barking and Dagenham,London",51.5541171,0.150504343
16,Whalebone,Barking and Dagenham,London,"Whalebone,Barking and Dagenham,London",51.5721959,0.1420234
17,Brunswick Park,Barnet,London,"Brunswick Park,Barnet,London",51.6262191,-0.1481899
18,Burnt Oak,Barnet,London,"Burnt Oak,Barnet,London",51.6028082,-0.2640125
19,Childs Hill,Barnet,London,"Childs Hill,Barnet,London",51.5629822,-0.1972494
20,Colindale,Barnet,London,"Colindale,Barnet,London",51.5954091,-0.2499296
21,Coppetts,Barnet,London,"Coppetts,Barnet,London",51.60444955,-0.153767875
22,East Barnet,Barnet,London,"East Barnet,Barnet,London",51.6416813,-0.1628235
23,East Finchley,Barnet,London,"East Finchley,Barnet,London",51.5871881,-0.1648137
24,Edgware,Barnet,London,"Edgware,Barnet,London",51.6107677,-0.279305
25,Finchley Church End,Barnet,London,"Finchley Church End,Barnet,London",51.6008355,-0.192318
26,Garden Suburb,Barnet,London,"Garden Suburb,Barnet,London",51.57612505,-0.17001197
27,Golders Green,Barnet,London,"Golders Green,Barnet,London",51.5718315,-0.1955219
28,Hale,Barnet,London,"Hale,Barnet,London",51.618006,-0.256795
29,Hendon,Barnet,London,"Hendon,Barnet,London",51.58105335,-0.226820363
30,High Barnet,Barnet,London,"High Barnet,Barnet,London",51.650399,-0.1938826
31,Mill Hill,Barnet,London,"Mill Hill,Barnet,London",51.6154423,-0.2330675
